Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Aneethun Flex Liss Kit Alisamento ;26;164.05;4265.3;1066.33;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Completo Cauterização Aneethun Kera System Promoção ;17;299.5;5091.5;1697.17;https://perfil.mercadolivre.com.br/VIVIANESILVAMELLO;São Paulo, São Paulo.
 Máscara Capilar Aneethun Hidratação Intensiva 1 Kg ;14;119.0;1666.0;166.6;https://perfil.mercadolivre.com.br/SANREMOMAGAZINE;Catanduva, São Paulo.
 Aneethun Blond System Kit Shampoo, Máscara E Finalizador ;21;171.0;3591.0;359.1;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Aneethun Linha A Máscara Capilar Hidratação Intensiva 1kg ;45;114.9;5170.5;1292.62;https://perfil.mercadolivre.com.br/BELA+PROFISSIONAL;Belo Horizonte, Minas Gerais.
 Kit Completo Cauterização Aneethun Kera System Promoção ;17;299.5;5091.5;1697.17;https://perfil.mercadolivre.com.br/VIVIANESILVAMELLO;São Paulo, São Paulo.
 Aneethun Queen Bb Cream Leave In 140 Ml ;27;119.9;3237.3;809.33;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Aneethun Blond System Kit Shampoo, Máscara E Finalizador ;21;171.0;3591.0;359.1;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Kit Aneethun Anti Queda Sh. 200g Balsamo 200g E Loçao 115ml ;50;219.0;10950.0;2737.5;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Kinoa System Kit Shampoo, Máscara E Finalizador ;7;168.0;1176.0;117.6;https://perfil.mercadolivre.com.br/SANDRASFORWORLD;Campinas, São Paulo.
 Kit Anti Frizz Sh+más+thermal Aneethun Liss Lançamento ;14;168.9;2364.6;472.92;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
